,kev,events_per_day
0,0.000000001,0.0001986648
1,0.015015016,0.0001986648
2,0.030030031,0.0001986648
3,0.045045046,0.0001986648
4,0.0600600611,0.0001986648
5,0.0750750761,0.0001986648
6,0.0900900911,0.0001986648
7,0.1051051061,0.0001986648
8,0.1201201211,0.0001986648
9,0.1351351361,0.0001986648
10,0.1501501511,0.0001986648
11,0.1651651662,0.0001986648
12,0.1801801812,0.0001986648
13,0.1951951962,0.0001986648
14,0.2102102112,0.0001986648
15,0.2252252262,0.0001986648
16,0.2402402412,0.0001986648
17,0.2552552562,0.0001986648
18,0.2702702713,0.0001986648
19,0.2852852863,0.0001986648
20,0.3003003013,0.0001986648
21,0.3153153163,0.0001986648
22,0.3303303313,0.0001986648
23,0.3453453463,0.0001986648
24,0.3603603613,0.0001986648
25,0.3753753764,0.0001986648
26,0.3903903914,0.0001986648
27,0.4054054064,0.0001986648
28,0.4204204214,0.0001986648
29,0.4354354364,0.0001986648
30,0.4504504514,0.0001986648
31,0.4654654664,0.0001986648
32,0.4804804814,0.0001986648
33,0.4954954965,0.0001986648
34,0.5105105115,0.0001986648
35,0.5255255265,0.0001986648
36,0.5405405415,0.0001986648
37,0.5555555565,0.0001986648
38,0.5705705715,0.0001986648
39,0.5855855865,0.0001986648
40,0.6006006016,0.0001986648
41,0.6156156166,0.0001986648
42,0.6306306316,0.0001986648
43,0.6456456466,0.0001986648
44,0.6606606616,0.0001986648
45,0.6756756766,0.0001986648
46,0.6906906916,0.0001986648
47,0.7057057067,0.0001986648
48,0.7207207217,0.0001986648
49,0.7357357367,0.0001986648
50,0.7507507517,0.0001986648
51,0.7657657667,0.0001986648
52,0.7807807817,0.0001986648
53,0.7957957967,0.0001986648
54,0.8108108118,0.0001986648
55,0.8258258268,0.0001986648
56,0.8408408418,0.0001986648
57,0.8558558568,0.0001986648
58,0.8708708718,0.0001986648
59,0.8858858868,0.0001986648
60,0.9009009018,0.0001986648
61,0.9159159169,0.0001986648
62,0.9309309319,0.0001986648
63,0.9459459469,0.0001986648
64,0.9609609619,0.0001986648
65,0.9759759769,0.0001986648
66,0.9909909919,0.0001986648
67,1.0060060069,0.0001986648
68,1.021021022,0.0001986648
69,1.036036037,0.0001986648
70,1.051051052,0.0001986648
71,1.066066067,0.0001986648
72,1.081081082,0.0001986648
73,1.096096097,0.0001986648
74,1.111111112,0.0001986648
75,1.1261261271,0.0001986648
76,1.1411411421,0.0001986648
77,1.1561561571,0.0001986648
78,1.1711711721,0.0001986648
79,1.1861861871,0.0001986648
80,1.2012012021,0.0001986648
81,1.2162162171,0.0001986648
82,1.2312312321,0.0001986648
83,1.2462462472,0.0001986648
84,1.2612612622,0.0001986648
85,1.2762762772,0.0001986648
86,1.2912912922,0.0001986648
87,1.3063063072,0.0001986648
88,1.3213213222,0.0001986648
89,1.3363363372,0.0001986648
90,1.3513513523,0.0001986648
91,1.3663663673,0.0001986648
92,1.3813813823,0.0001986648
93,1.3963963973,0.0001986648
94,1.4114114123,0.0001986648
95,1.4264264273,0.0001986648
96,1.4414414423,0.0001986648
97,1.4564564574,0.0001986648
98,1.4714714724,0.0001986648
99,1.4864864874,0.0001986648
100,1.5015015024,0.0001986648
101,1.5165165174,0.0001986648
102,1.5315315324,0.0001986648
103,1.5465465474,0.0001986648
104,1.5615615625,0.0001986648
105,1.5765765775,0.0001986648
106,1.5915915925,0.0001986648
107,1.6066066075,0.0001986648
108,1.6216216225,0.0001986648
109,1.6366366375,0.0001986648
110,1.6516516525,0.0001986648
111,1.6666666676,0.0001986648
112,1.6816816826,0.0001986648
113,1.6966966976,0.0001986648
114,1.7117117126,0.0001986648
115,1.7267267276,0.0001986648
116,1.7417417426,0.0001986648
117,1.7567567576,0.0001986648
118,1.7717717727,0.0001986648
119,1.7867867877,0.0001986648
120,1.8018018027,0.0001986648
121,1.8168168177,0.0001986648
122,1.8318318327,0.0001986648
123,1.8468468477,0.0001986648
124,1.8618618627,0.0001986648
125,1.8768768778,0.0001986648
126,1.8918918928,0.0001986648
127,1.9069069078,0.0001986648
128,1.9219219228,0.0001986648
129,1.9369369378,0.0001986648
130,1.9519519528,0.0001986648
131,1.9669669678,0.0001986648
132,1.9819819828,0.0001986648
133,1.9969969979,0.0001986648
134,2.0120120129,0.0001986648
135,2.0270270279,0.0001986648
136,2.0420420429,0.0001986648
137,2.0570570579,0.0001986648
138,2.0720720729,0.0001986648
139,2.0870870879,0.0001986648
140,2.102102103,0.0001986648
141,2.117117118,0.0001986648
142,2.132132133,0.0001986648
143,2.147147148,0.0001986648
144,2.162162163,0.0001986648
145,2.177177178,0.0001986648
146,2.192192193,0.0001986648
147,2.2072072081,0.0001986648
148,2.2222222231,0.0001986648
149,2.2372372381,0.0001986648
150,2.2522522531,0.0001986648
151,2.2672672681,0.0001986648
152,2.2822822831,0.0001986648
153,2.2972972981,0.0001986648
154,2.3123123132,0.0001986648
155,2.3273273282,0.0001986648
156,2.3423423432,0.0001986648
157,2.3573573582,0.0001986648
158,2.3723723732,0.0001986648
159,2.3873873882,0.0001986648
160,2.4024024032,0.0001986648
161,2.4174174183,0.0001986648
162,2.4324324333,0.0001986648
163,2.4474474483,0.0001986648
164,2.4624624633,0.0001986648
165,2.4774774783,0.0001986648
166,2.4924924933,0.0001986648
167,2.5075075083,0.0001986648
168,2.5225225234,0.0001986648
169,2.5375375384,0.0001986648
170,2.5525525534,0.0001986648
171,2.5675675684,0.0001986648
172,2.5825825834,0.0001986648
173,2.5975975984,0.0001986648
174,2.6126126134,0.0001986648
