,bias,s1
0,-0.04289422607104037,1.0
1,-0.04526326666390858,1.2368148589121308
2,-0.04778019124096623,1.5297109952258339
3,-0.0500905753176113,1.8919692887365747
4,-0.052162388686507244,2.3400157289148114
5,-0.05402314177788244,2.8941662236099392
6,-0.05562011776692236,3.5795477895223806
7,-0.056952518886763934,4.4272378942673525
8,-0.057997990755536015,5.475673611568715
9,-0.058738421600506144,6.772394485341239
10,-0.05916856036655695,8.376198129884616
11,-0.059278423185383296,10.359806308233294
12,-0.05906297633384151,12.81316237747456
13,-0.05851976875260922,15.847509618114424
14,-0.057649660844449425,19.600435372436824
15,-0.056456300677031314,24.242109709776795
16,-0.054946373290334714,29.983001500429975
17,-0.053129538220049496,37.083421770516495
18,-0.051018425519905146,45.865327065080415
19,-0.04862869506396311,56.726918022956156
20,-0.04597906811904385,70.16069511108255
21,-0.04309118111224875,86.77579022499056
22,-0.039989712097542,107.32558674411034
23,-0.03670238070626066,132.74188042657846
24,-0.03325990120533382,164.17713011152952
25,-0.02969599078824101,203.0567140154901
26,-0.02604737936365542,251.1435610962292
27,-0.022353808892786563,310.61808808392277
28,-0.0186580390749944,384.1770667890726
29,-0.01500583800545935,475.155904658003
30,-0.011445978133654026,587.6798831808544
31,-0.00803024980126639,726.8512118018257
32,-0.004813453394179965,898.9803789747862
33,-0.0018533993509531061,1111.8722905864738
34,0.0007890902059810417,1375.180170210017
35,0.0030501825559698164,1700.8432681970635
36,0.004863033020731743,2103.6282267867978
37,0.006157786571538491,2601.798648516889
38,0.006861576652466641,3217.9432283831875
39,0.006898525667285983,3979.999999999998
